Period,Price,Num
20200815272,26869,9
20200815271,26877,7
20200815270,26870,0
20200815269,26869,9
20200815268,26867,7
20200815267,26870,0
20200815266,26868,8
20200815265,26866,6
20200815264,26855,5
20200815263,26848,8
20200815262,26868,8
20200815261,26874,4
20200815260,26876,6
20200815259,26876,6
20200815258,26879,9
20200815257,26879,9
20200815256,26882,2
20200815255,26901,1
20200815254,26892,2
20200815253,26901,1
20200815252,26890,0
20200815251,26874,4
20200815250,26888,8
20200815249,26885,5
20200815248,26866,6
20200815247,26873,3
20200815246,26856,6
20200815245,26863,3
20200815244,26855,5
20200815243,26862,2
20200815242,26870,0
20200815241,26876,6
20200815240,26874,4
20200815239,26890,0
20200815238,26897,7
20200815237,26918,8
20200815236,26925,5
20200815235,26925,5
20200815234,26903,3
20200815233,26914,4
